,price,propertyType,size,exterior,rooms,bathrooms,municipality,distance,status,floor,district,hasLift
308,733.0,flat,68.4,True,2,1,Alcalá de Henares,28541,good,2,Las Sedas - El Olivar,True
309,750.0,flat,36.0,True,1,1,Madrid,4237,good,bj,Ciudad Lineal,True
310,675.0,flat,69.0,True,2,1,Madrid,5656,good,bj,Latina,False
311,650.0,flat,85.0,True,2,1,Guadarrama,43066,good,2,desconocido,False
312,730.0,flat,52.0,True,1,1,Madrid,5879,good,bj,Tetuán,True
313,700.0,flat,97.0,True,1,1,Loeches,24605,good,bj,desconocido,True
314,690.0,studio,38.0,False,0,1,Madrid,5798,good,2,Tetuán,True
315,700.0,flat,70.0,True,2,1,Guadarrama,43166,good,1,desconocido,False
316,600.0,duplex,89.0,True,2,2,Miraflores de la Sierra,44474,good,2,desconocido,False
317,700.0,studio,25.0,False,0,1,Madrid,691,good,bj,Centro,False
318,690.0,flat,60.0,True,2,1,Sevilla la Nueva,29005,good,bj,desconocido,False
319,750.0,duplex,114.0,True,3,3,Serranillos del Valle,28099,good,1,desconocido,False
320,700.0,studio,51.0,True,0,1,Madrid,8471,good,bj,Hortaleza,False
321,670.0,flat,61.0,True,1,1,Collado Villalba,35136,good,bj,Parque de la Coruña - Las Suertes,True
322,750.0,flat,80.0,True,2,1,Valdemoro,25085,good,4,Zona Estación,True
