,price,rooms,municipality,status,floor,hasLift,size_MinMax,distance_MinMax,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,exterior_False,exterior_True,bathrooms_1,bathrooms_2,bathrooms_3
20,750.0,710.948085191854,690.7221836842307,701.970873786407,710.5365065594968,705.692305461913,0.8404255319148936,0.7677131157711876,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
21,680.0,689.5390471579225,706.8106482790962,701.970873786407,710.5365065594968,705.692305461913,0.1914893617021276,0.0426851966745253,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
22,750.0,689.5390471579225,706.8106482790962,701.970873786407,710.5365065594968,705.692305461913,0.3297872340425531,0.207629447113254,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
23,750.0,689.5390471579225,705.7181331682409,701.970873786407,705.544032472127,696.3333379576432,0.4255319148936171,0.3746122347685817,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
24,750.0,695.0776273114345,706.8106482790962,701.970873786407,712.0699594988107,705.692305461913,0.0531914893617021,0.0062042437026926,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
25,750.0,689.5390471579225,706.8106482790962,701.970873786407,710.5365065594968,696.3333379576432,0.2127659574468085,0.032013897505894,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
26,650.0,704.5562854110732,706.8106482790962,701.970873786407,710.5365065594968,696.3333379576432,0.4468085106382978,0.135748852214915,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
27,750.0,695.0776273114345,706.8106482790962,701.970873786407,701.7385556407845,696.3333379576432,0.1063829787234042,0.0133302607554996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
28,750.0,689.5390471579225,706.8106482790962,701.970873786407,702.9283352403625,696.3333379576432,0.202127659574468,0.0328470388031127,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
29,700.0,704.5562854110732,706.8106482790962,701.970873786407,701.7385556407845,696.3333379576432,0.4468085106382978,0.1472887455019233,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
30,747.0,710.948085191854,699.010560419844,701.970873786407,710.5365065594968,705.692305461913,0.8085106382978723,0.4684735787850318,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
31,640.0,695.0776273114345,706.8106482790962,701.970873786407,710.5365065594968,705.692305461913,0.1595744680851063,0.126584297945509,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
32,750.0,689.5390471579225,706.8106482790962,701.970873786407,705.7181331682409,705.692305461913,0.1063829787234042,0.0345665006292875,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
33,750.0,704.5562854110732,702.3917346259143,701.970873786407,705.544032472127,705.692305461913,0.5319148936170213,0.5055572297165547,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
34,625.0,704.5562854110732,689.4545738728663,701.970873786407,705.544032472127,696.3333379576432,0.3404255319148936,0.7137007427366033,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
35,700.0,695.0776273114345,706.8106482790962,701.970873786407,701.7385556407845,705.692305461913,0.2127659574468085,0.022122560402744,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
36,750.0,695.0776273114345,706.8106482790962,701.970873786407,695.1528188869772,705.692305461913,0.2127659574468085,0.0396008012337581,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
37,650.0,689.5390471579225,706.8106482790962,701.970873786407,705.544032472127,705.692305461913,0.1595744680851063,0.0166273731232162,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
38,720.0,710.948085191854,702.3917346259143,701.970873786407,705.544032472127,696.3333379576432,0.5319148936170213,0.512576888305887,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
39,699.0,689.5390471579225,706.8106482790962,701.970873786407,701.7385556407845,705.692305461913,0.3404255319148936,0.1224717706911527,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
40,750.0,704.5562854110732,690.7391638502289,701.970873786407,682.8892293349359,705.692305461913,0.4787234042553191,0.2286352436495134,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
41,695.0,704.5562854110732,701.9964415655847,701.970873786407,682.8892293349359,705.692305461913,0.4787234042553191,0.2432240795561307,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
42,750.0,704.5562854110732,697.5959787532945,701.970873786407,682.8892293349359,705.692305461913,0.6170212765957447,0.3463031570737241,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
43,620.0,704.5562854110732,706.8106482790962,701.970873786407,682.8892293349359,696.3333379576432,0.4255319148936171,0.138230549695992,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
44,550.0,689.5390471579225,690.7391638502289,701.970873786407,682.8892293349359,696.3333379576432,0.8724271670624579,0.6734192777941136,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
45,750.0,689.5390471579225,706.8106482790962,701.970873786407,701.7385556407845,705.692305461913,0.276595744680851,0.0229202488788045,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
46,680.0,695.0776273114345,706.8106482790962,701.970873786407,678.7988667568208,696.3333379576432,0.3723404255319149,0.0871075815858046,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
47,700.0,689.5390471579225,699.2127094500911,686.9905878074868,682.8892293349359,681.6670657879246,0.3191489361702128,0.5649229787460338,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
48,750.0,689.5390471579225,706.8106482790962,686.9905878074868,682.8892293349359,681.6670657879246,0.1595744680851063,0.0684948504777267,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
49,750.0,704.5562854110732,703.2303101041684,701.970873786407,710.5365065594968,705.692305461913,0.4893617021276596,0.2327123180827114,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
50,650.0,689.5390471579225,702.3917346259143,701.970873786407,695.1528188869772,705.692305461913,0.4787234042553191,0.5186215943133675,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
51,600.0,689.5390471579225,690.9363487011881,701.970873786407,682.8892293349359,705.692305461913,0.3191489361702128,0.4298122773119671,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
52,650.0,689.5390471579225,700.7576087111507,701.970873786407,705.544032472127,705.692305461913,0.4361702127659574,0.6151596263272651,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
53,650.0,704.5562854110732,703.2303101041684,701.970873786407,701.7385556407845,696.3333379576432,0.4787234042553191,0.2012656657153493,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
54,700.0,689.5390471579225,706.8106482790962,701.970873786407,701.7385556407845,696.3333379576432,0.2659574468085106,0.2151631716093808,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
55,625.0,704.5562854110732,700.6830665534904,701.970873786407,678.7988667568208,696.3333379576432,0.4468085106382978,0.203552372680056,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
56,595.0,689.5390471579225,706.8106482790962,701.970873786407,678.7988667568208,696.3333379576432,0.2659574468085106,0.0772871501249712,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
