,price,propertyType,exterior,rooms,bathrooms,municipality,status,floor,hasLift,size_MinMax,distance_MinMax
59,725.0,flat,True,1,1,Madrid,good,2,True,0.3191489361702128,0.13339123960789181
60,750.0,flat,True,3,1,Alcalá de Henares,good,8,True,0.797872340425532,0.501657419389148
61,700.0,penthouse,True,1,1,Madrid,good,1,True,0.10638297872340427,0.2103415879318597
62,700.0,flat,False,1,1,Madrid,good,3,False,0.07446808510638295,0.02141350397957918
63,650.0,flat,True,2,1,Alcalá de Henares,good,1,True,0.4148936170212766,0.5385106269831422
64,550.0,flat,True,1,1,Paracuellos de Jarama,good,3,True,0.2127659574468085,0.3113998546434332
65,650.0,flat,True,1,1,Madrid,good,4,True,0.37234042553191493,0.17926719018665913
66,750.0,flat,True,2,1,Madrid,good,desconocido,True,0.4787234042553191,0.09566943789552053
67,725.0,flat,True,2,1,Madrid,good,desconocido,True,0.5319148936170213,0.06973569921826529
68,700.0,flat,True,1,1,Alcalá de Henares,good,1,False,0.6382978723404256,0.51897612252495
69,650.0,flat,True,1,1,Madrid,good,bj,True,0.2127659574468085,0.213443709783206
70,695.0,flat,True,3,1,Madrid,good,desconocido,False,0.7446808510638298,0.13376349423005338
71,750.0,flat,True,1,1,Madrid,good,desconocido,False,0.37234042553191493,0.10341587931859678
72,650.0,flat,True,2,1,Madrid,good,desconocido,True,0.4787234042553191,0.13075000443160265
73,666.0,flat,True,1,2,Villanueva del Pardillo,good,1,True,0.5319148936170213,0.4374700866821477
74,750.0,flat,True,2,2,Alcalá de Henares,good,desconocido,True,0.6170212765957447,0.5281229503837769
75,630.0,flat,True,3,1,El Molar,good,desconocido,True,0.574468085106383,0.6434687040221226
76,635.0,studio,True,0,1,Leganés,good,2,True,0.37234042553191493,0.2542853597575027
77,725.0,flat,True,2,1,Collado Villalba,good,1,True,0.5212765957446809,0.6329923953698616
78,750.0,flat,False,1,1,Madrid,good,1,False,0.15957446808510636,0.01198305355148636
79,690.0,flat,True,2,1,Madrid,good,3,False,0.4787234042553191,0.08049563043979224
80,700.0,studio,False,0,1,Madrid,good,2,True,0.10638297872340427,0.015209260276886533
81,730.0,flat,True,3,1,Parla,good,1,False,0.46808510638297873,0.355449984932551
82,750.0,flat,True,1,1,Madrid,good,1,True,0.32978723404255317,0.057664013613883326
83,750.0,flat,False,1,1,Tres Cantos,good,4,True,0.2978723404255319,0.36060837041107546
84,690.0,flat,True,1,1,Madrid,good,desconocido,False,0.15957446808510636,0.08187829046496374
85,750.0,flat,True,3,1,Alcorcón,good,4,True,0.574468085106383,0.22750075337244963
86,700.0,duplex,True,1,1,Madrid,good,bj,False,0.15957446808510636,0.011858968677432507
87,720.0,flat,True,1,1,Madrid,good,4,True,0.23404255319148934,0.14447024621984295
88,595.0,flat,True,1,1,Quijorna,good,1,False,0.37234042553191493,0.52321273465336
89,700.0,flat,False,1,1,Madrid,good,1,False,0.26595744680851063,0.016485561838583306
90,700.0,flat,True,2,1,Aranjuez,good,1,False,0.5851063829787234,0.7752113874461561
91,675.0,duplex,True,2,2,Miraflores de la Sierra,good,2,False,0.7127659574468085,0.7856345168666797
92,650.0,flat,True,1,1,Pedrezuela,good,bj,False,0.26595744680851063,0.6657685285306579
93,750.0,studio,True,0,1,Madrid,good,2,True,0.37234042553191493,0.013028911775654548
94,720.0,studio,True,0,1,San Sebastián de los Reyes,good,5,True,0.26595744680851063,0.27032776133160796
95,624.0,flat,True,1,1,Valdemoro,newdevelopment,desconocido,True,0.26595744680851063,0.4235548543775371
96,633.0,flat,True,1,1,Valdemoro,newdevelopment,desconocido,True,0.26595744680851063,0.4235548543775371
97,640.0,studio,True,0,1,Madrid,good,2,True,0.13829787234042554,0.1950968748338149
98,645.0,flat,True,2,2,Aranjuez,good,2,True,0.6808510638297872,0.7736514633151934
99,750.0,flat,False,1,1,Madrid,good,3,False,0.276595744680851,0.015705599773101948
100,735.0,studio,True,0,1,Madrid,good,1,True,0.15957446808510636,0.19330650736532362
101,600.0,flat,True,1,1,Daganzo de Arriba,desconocido,desconocido,desconocido,0.37234042553191493,0.4432666229415206
102,750.0,flat,True,3,1,Madrid,good,desconocido,False,0.5851063829787234,0.14363710492262424
103,600.0,penthouse,True,1,1,Madrid,good,5,True,0.05319148936170212,0.0
104,705.0,flat,True,1,1,Madrid,good,4,True,0.2978723404255319,0.2001134490277064
105,650.0,flat,True,2,1,Guadarrama,good,3,False,0.44680851063829785,0.7630510697888785
106,700.0,duplex,True,2,1,Cobeña,good,1,False,0.43617021276595747,0.4207186286848776
107,650.0,studio,False,0,1,Madrid,good,en,True,0.2127659574468085,0.08694804389059259
108,700.0,flat,True,1,1,Madrid,good,bj,False,0.2127659574468085,0.05128250580539947
109,730.0,flat,True,2,1,Madrid,good,4,False,0.32978723404255317,0.11671068725293815
110,750.0,flat,True,2,1,Madrid,good,3,False,0.3191489361702128,0.1444347933986847
111,680.0,flat,True,2,1,Torrejón de Ardoz,good,3,False,0.3829787234042553,0.33884033821991383
112,710.0,flat,True,3,1,Parla,good,4,False,0.6170212765957447,0.3799478843528974
113,720.0,flat,True,2,1,Madrid,good,1,False,0.2872340425531915,0.12240086504883625
114,750.0,studio,True,0,1,Madrid,good,desconocido,True,0.24468085106382978,0.09127328807189831
115,695.0,studio,True,0,1,Madrid,good,desconocido,True,0.2127659574468085,0.21613812419123254
116,630.0,flat,True,1,2,El Álamo,desconocido,desconocido,desconocido,0.36170212765957444,0.5716590147661
117,750.0,flat,True,3,1,Algete,good,desconocido,True,0.7446808510638298,0.4647510325634162
118,730.0,flat,True,1,1,Madrid,good,2,True,0.3191489361702128,0.15127718788222574
119,600.0,flat,True,3,1,Valdemoro,good,desconocido,True,0.7446808510638298,0.44314253806746673
120,650.0,studio,True,0,1,Madrid,good,bj,True,0.26595744680851063,0.0970166450995338
121,750.0,flat,False,1,1,Madrid,good,bj,True,0.19148936170212763,0.005087479836207967
122,730.0,flat,True,1,1,Rivas-Vaciamadrid,good,desconocido,True,0.3191489361702128,0.28764646446741
123,735.0,studio,True,0,1,Madrid,good,2,True,0.10638297872340427,0.1950791484232358
124,610.0,flat,False,1,1,Pinto,good,bj,True,0.5531914893617021,0.3432010352223778
125,580.0,chalet,False,3,2,Los Santos de la Humosa,good,desconocido,desconocido,0.36170212765957444,0.6890255792104657
126,725.0,flat,True,1,1,Villanueva del Pardillo,good,en,False,0.3191489361702128,0.4184141953095918
127,750.0,flat,True,1,1,Madrid,good,1,False,0.2978723404255319,0.08689486465885522
128,750.0,flat,True,3,1,Alcalá de Henares,good,2,False,0.5319148936170213,0.5225214046407743
129,750.0,flat,True,1,1,Madrid,good,7,True,0.3085106382978724,0.14681013241628704
130,730.0,flat,True,3,1,Parla,good,3,False,0.4255319148936171,0.36808891567546487
131,560.0,flat,False,1,1,Madrid,good,bj,False,0.06382978723404256,0.00783507347597185
132,700.0,studio,True,0,1,Madrid,desconocido,desconocido,desconocido,0.03191489361702127,0.019286334710084556
133,750.0,flat,True,3,1,San Fernando de Henares,good,2,True,0.6382978723404256,0.2624926878556361
134,730.0,flat,True,3,1,Pinto,good,3,False,0.5319148936170213,0.32967578395050784
135,730.0,flat,True,2,1,Madrid,good,4,False,0.34042553191489366,0.15322709304592916
136,740.0,flat,True,2,1,Madrid,good,3,False,0.46808510638297873,0.14503749135837485
137,720.0,flat,True,2,1,Madrid,good,2,False,0.4787234042553191,0.12989913672380482
138,720.0,flat,True,2,1,Torrejón de Ardoz,good,2,False,0.45744680851063835,0.3465158740006736
139,740.0,flat,True,2,1,Madrid,good,1,True,0.36170212765957444,0.11438852746707319
140,720.0,flat,True,2,1,Getafe,good,3,False,0.34042553191489366,0.2217928491659724
141,730.0,flat,True,2,1,Madrid,good,3,False,0.26595744680851063,0.07448637725346995
142,600.0,duplex,False,1,1,Madrid,desconocido,desconocido,desconocido,0.6382978723404256,0.12479393047701771
143,600.0,duplex,False,1,1,Madrid,desconocido,desconocido,desconocido,0.6382978723404256,0.12334036480952972
144,725.0,duplex,True,2,1,Cobeña,good,1,False,0.5425531914893618,0.40726428305532414
145,675.0,flat,True,3,1,Aldea del Fresno,good,2,False,0.5957446808510638,0.7675890308971337
146,750.0,flat,True,1,1,San Sebastián de los Reyes,good,3,True,0.36170212765957444,0.2774360519738358
147,750.0,duplex,True,2,2,Collado Villalba,good,1,False,0.6276595744680851,0.6118093347278111
148,700.0,flat,True,1,1,Madrid,good,2,True,0.36170212765957444,0.05621044794639534
149,750.0,flat,True,2,1,Madrid,good,3,False,0.36170212765957444,0.1442752557034726
150,730.0,flat,True,2,1,Madrid,good,3,False,0.2978723404255319,0.12078776168613617
151,650.0,flat,True,2,1,Alcalá de Henares,good,4,False,0.43617021276595747,0.5038200414798009
152,730.0,flat,True,2,1,Madrid,good,1,False,0.45744680851063835,0.13667062556502935
153,720.0,flat,True,2,1,Madrid,good,2,False,0.3191489361702128,0.12156772375161753
154,720.0,flat,True,2,1,Madrid,good,1,False,0.32978723404255317,0.12036232783223726
155,750.0,flat,True,2,1,Madrid,good,1,False,0.2872340425531915,0.07719851807207559
156,730.0,flat,True,2,1,Madrid,good,3,False,0.3191489361702128,0.12812649566589263
157,730.0,flat,True,2,1,Madrid,good,2,False,0.2127659574468085,0.07122471770691152
158,670.0,flat,True,2,1,Valdemoro,good,1,True,0.5,0.44168897239997873
159,740.0,flat,True,2,1,Madrid,good,3,False,0.34042553191489366,0.08294187509971106
160,720.0,flat,True,2,1,Alcalá de Henares,good,1,True,0.5212765957446809,0.5123109921472002
161,750.0,flat,True,2,1,Madrid,good,4,False,0.4148936170212766,0.14565791572864412
162,740.0,flat,True,2,1,Madrid,good,3,False,0.26595744680851063,0.13360395653484128
163,740.0,flat,True,2,1,Madrid,good,1,True,0.4255319148936171,0.11499122542676334
164,730.0,studio,False,0,1,Madrid,good,desconocido,True,0.26595744680851063,0.01189442149859075
165,620.0,flat,True,3,1,Parla,good,desconocido,True,0.5851063829787234,0.3697906510910606
166,695.0,flat,True,2,1,Fuenlabrada,good,desconocido,False,0.5,0.2823462677042526
167,650.0,flat,True,3,1,Navalcarnero,good,desconocido,True,0.797872340425532,0.5264921206104977
168,675.0,flat,True,2,1,Alcalá de Henares,good,desconocido,True,0.5106382978723404,0.536720259514651
169,695.0,flat,True,2,1,Madrid,good,desconocido,False,0.4787234042553191,0.14714693421729036
170,750.0,flat,True,2,2,Parla,good,6,True,0.9680851063829786,0.3616187758140854
171,675.0,flat,False,1,1,Madrid,desconocido,desconocido,desconocido,0.15957446808510636,0.014766100012408488
172,730.0,flat,False,3,1,Parla,good,3,False,0.4255319148936171,0.36468544484427345
173,690.0,flat,True,2,1,Parla,good,desconocido,True,0.6914893617021277,0.3655363125520713
174,750.0,flat,False,1,1,Madrid,good,bj,False,0.26595744680851063,0.08696577030117171
175,600.0,studio,True,0,1,Madrid,good,1,True,0.1276595744680851,0.1088756137769663
176,723.0,studio,True,0,1,Rivas-Vaciamadrid,newdevelopment,desconocido,True,0.05319148936170212,0.29411660432878944
177,725.0,flat,True,1,1,Madrid,good,1,True,0.3191489361702128,0.18293655717653734
178,750.0,flat,True,3,1,Getafe,desconocido,desconocido,desconocido,0.5,0.20339283498484392
179,600.0,flat,True,2,1,Mataelpino,desconocido,desconocido,desconocido,0.26595744680851063,0.7235920798397533
180,750.0,flat,True,3,1,San Fernando de Henares,good,2,False,0.5319148936170213,0.25630617056352256
181,720.0,flat,True,1,1,Madrid,good,bj,False,0.36170212765957444,0.05518231613280627
182,550.0,penthouse,True,2,2,Villa del Prado,good,desconocido,False,0.5851063829787234,0.9406342509705211
183,720.0,flat,False,3,1,Madrid,good,3,False,0.3085106382978724,0.14585290624501446
184,740.0,flat,True,3,1,Madrid,good,1,True,0.4787234042553191,0.14642015138354636
185,720.0,flat,False,2,1,Madrid,good,4,False,0.3829787234042553,0.1153634800489249
186,650.0,flat,False,1,1,Madrid,good,3,False,0.11702127659574466,0.01815184443302076
187,650.0,flat,True,2,1,Aranjuez,good,3,False,0.8085106382978723,0.7758849910481628
188,690.0,flat,True,2,1,Alcalá de Henares,good,bj,False,0.46808510638297873,0.539786928544839
189,750.0,studio,True,0,1,Madrid,good,5,True,0.05319148936170212,0.05307287327389077
190,725.0,flat,True,1,1,Madrid,good,2,True,0.26595744680851063,0.18302518922943295
191,620.0,flat,False,1,1,Pinto,good,bj,True,0.6914893617021277,0.34715402478152196
