,price,propertyType,exterior,rooms,bathrooms,municipality,status,floor,hasLift,size_MinMax,distance_MinMax,outliers_ifo_0.01_100,outliers_ifo_0.01_400,outliers_ifo_0.01_1000,outliers_ifo_0.01_2000,outliers_ifo_0.05_100,outliers_ifo_0.05_400,outliers_ifo_0.05_1000,outliers_ifo_0.05_2000,outliers_ifo_0.1_100,outliers_ifo_0.1_400,outliers_ifo_0.1_1000,outliers_ifo_0.1_2000
31,640.0,studio,True,0,1,Madrid,good,1,True,0.1595744680851063,0.126584297945509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,750.0,flat,False,1,1,Madrid,good,st,True,0.1063829787234042,0.0345665006292875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,750.0,flat,True,2,1,Alcalá de Henares,good,2,True,0.5319148936170213,0.5055572297165547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,625.0,flat,True,2,1,El Escorial,good,2,False,0.3404255319148936,0.7137007427366033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,700.0,studio,True,0,1,Madrid,good,3,True,0.2127659574468085,0.022122560402744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,750.0,studio,True,0,1,Madrid,good,en,True,0.2127659574468085,0.0396008012337581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,650.0,flat,False,1,1,Madrid,good,2,True,0.1595744680851063,0.0166273731232162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,720.0,flat,True,3,1,Alcalá de Henares,good,2,False,0.5319148936170213,0.512576888305887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,699.0,flat,True,1,1,Madrid,good,3,True,0.3404255319148936,0.1224717706911527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,750.0,flat,True,2,1,Leganés,good,desconocido,True,0.4787234042553191,0.2286352436495134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,695.0,flat,True,2,1,Coslada,good,desconocido,True,0.4787234042553191,0.2432240795561307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,750.0,flat,True,2,2,Torrejón de Ardoz,good,desconocido,True,0.6170212765957447,0.3463031570737241,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
